genre, title1, title2, votes, rating
Drama	The Shawshank Redemption	The Shawshank Redemption	2761075	9.3
Crime,Drama	The Godfather	The Godfather	1921419	9.2
Crime,Drama	12 Angry Men	12 Angry Men	818259	9.0
Crime,Drama	The Godfather Part II	The Godfather Part II	1307584	9.0
Biography,Drama,History	Schindler's List	Schindler's List	1391277	9.0
Action,Adventure,Drama	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	1895488	9.0
Action,Crime,Drama	The Dark Knight	The Dark Knight	2734035	9.0
Crime,Drama	Pulp Fiction	Pulp Fiction	2119865	8.9
Action,Adventure,Animation	Spider-Man: Across the Spider-Verse	Spider-Man: Across the Spider-Verse	169531	8.9
Drama,Romance	Forrest Gump	Forrest Gump	2147644	8.8
Action,Adventure,Drama	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	1923923	8.8
Drama	Fight Club	Fight Club	2198462	8.8
Action,Adventure,Drama	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	1710613	8.8
Action,Adventure,Sci-Fi	Inception	Inception	2426268	8.8
Crime,Drama,Mystery	Jai Bhim	Jai Bhim	207794	8.8
Drama	One Flew Over the Cuckoo's Nest	One Flew Over the Cuckoo's Nest	1032835	8.7
Action,Adventure,Fantasy	Star Wars: Episode V - The Empire Strikes Back	Star Wars: Episode V - The Empire Strikes Back	1327305	8.7
Action,Sci-Fi	The Matrix	The Matrix	1967293	8.7
Adventure,Drama,Sci-Fi	Interstellar	Interstellar	1929337	8.7
Action,Drama	Soorarai Pottru	Soorarai Pottru	119878	8.7
Drama	The Kashmir Files	The Kashmir Files	569892	8.7
Biography,Drama	Rocketry: The Nambi Effect	Rocketry: The Nambi Effect	54030	8.7
Drama,Family,Fantasy	It's a Wonderful Life	It's a Wonderful Life	474117	8.6
Action,Drama	Seven Samurai	Shichinin no samurai	354292	8.6
Crime,Drama,Thriller	The Silence of the Lambs	The Silence of the Lambs	1474586	8.6
Action,Sci-Fi	Terminator 2: Judgment Day	Terminator 2: Judgment Day	1128722	8.6
Crime,Drama,Mystery	Se7en	Se7en	1707117	8.6
Crime,Drama,Fantasy	The Green Mile	The Green Mile	1342475	8.6
Drama,War	Saving Private Ryan	Saving Private Ryan	1430285	8.6
Action,Drama,Mystery	Sita Ramam	Sita Ramam	61086	8.6
Comedy,Drama,Romance	City Lights	City Lights	189301	8.5
