index, genre, title1, title2, votes, rating
74	Crime,Drama,Film-Noir	Double Indemnity	Double Indemnity	161436	8.3
75	Drama	Ikiru	Ikiru	82459	8.3
76	Comedy,Musical,Romance	Singin' in the Rain	Singin' in the Rain	250071	8.3
77	Mystery,Romance,Thriller	Vertigo	Vertigo	412423	8.3
78	Action,Adventure,Mystery	North by Northwest	North by Northwest	335867	8.3
79	Comedy,Drama,Romance	The Apartment	The Apartment	187487	8.3
80	Drama,War	Judgment at Nuremberg	Judgment at Nuremberg	80436	8.3
81	Adventure,Biography,Drama	Lawrence of Arabia	Lawrence of Arabia	302470	8.3
82	Crime,Drama	To Kill a Mockingbird	To Kill a Mockingbird	323379	8.3
83	Adventure,Sci-Fi	2001: A Space Odyssey	2001: A Space Odyssey	688749	8.3
84	Crime,Sci-Fi	A Clockwork Orange	A Clockwork Orange	851164	8.3
85	Comedy,Crime,Drama	The Sting	The Sting	270493	8.3
86	Action,Adventure,Fantasy	Star Wars: Episode VI - Return of the Jedi	Star Wars: Episode VI - Return of the Jedi	1082262	8.3
87	Crime,Drama	Scarface	Scarface	871115	8.3
88	Crime,Drama	Once Upon a Time in America	Once Upon a Time in America	362020	8.3
89	Drama,War	Full Metal Jacket	Full Metal Jacket	761963	8.3
90	Crime,Thriller	Reservoir Dogs	Reservoir Dogs	1047402	8.3
91	Biography,Drama,History	Braveheart	Braveheart	1059129	8.3
92	Action,Crime,Drama	Heat	Heat	681213	8.3
93	Adventure,Animation,Comedy	Toy Story	Toy Story	1023875	8.3
94	Drama,Romance	Good Will Hunting	Good Will Hunting	1009042	8.3
95	Drama	American Beauty	American Beauty	1176850	8.3
96	Drama	Requiem for a Dream	Requiem for a Dream	865120	8.3
97	Drama,Romance,Sci-Fi	Eternal Sunshine of the Spotless Mind	Eternal Sunshine of the Spotless Mind	1035439	8.3
98	Adventure,Drama,War	Inglourious Basterds	Inglourious Basterds	1500386	8.3
99	Adventure,Animation,Comedy	Toy Story 3	Toy Story 3	859345	8.3
100	Action,Biography,Drama	Shershaah	Shershaah	125260	8.3
101	Adventure,Animation,Comedy	Up	Up	1075696	8.3
102	Action,Crime,Drama	K.G.F: Chapter 2	K.G.F: Chapter 2	140517	8.3
103	Drama,Mystery	Incendies	Incendies	185476	8.3
104	Action,Adventure,Drama	Kantara	Kantara	96429	8.3
105	Action,Drama	Top Gun: Maverick	Top Gun: Maverick	603772	8.3
106	Action,Biography,Drama	Dangal	Dangal	198518	8.3
107	Biography,Drama,History	Hamilton	Hamilton	102855	8.3
108	Comedy,Drama,Romance	Chhichhore	Chhichhore	58326	8.3
109	Action,Crime,Thriller	Vikram	Vikram	64517	8.3
110	Action,Comedy,Romance	Sherlock Jr.	Sherlock Jr.	52914	8.2
